Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch
207195525,5,missing,United States,I love disneyland I have been their probably 25 times and I have counted. I love both parks and nothing is ever bad there... Go very soon... It was so much fun.    ,Disneyland_California
620279782,4,2018-9,United Kingdom,We had s lovely time as you would expect. But a few rides were closed and several times rides were delayed or broke down.  More engineers needed!  Fireworks display is not too be missed,Disneyland_Paris
118468396,5,2011-9,South Korea,"We had a great time here. My 6 year old daughter really liked most of the rides. She loved Crush's coaster and Thunder Mountain. The Tower of Terror really scared her though, and she was crying for a little while after. She loved meeting the characters and had a lot of time to spend with them at Inventions buffet in the DL hotel and also at the Cowboy Cookout in Frontierland DLP.",Disneyland_Paris
209225612,5,2014-5,Singapore,"As this is the happiness places on earth no doubt you will see Mickey, Donald and the rest of the folks. Go through the show timing so that you can plan your walk path. Stay back till 9.00pm to watch the wonderful fireworks but please...More",Disneyland_HongKong
118367914,5,2011-9,Czechia,"Nothing to say apart that the only things I wanted to see is a smile on my daughter and I had it all day and still now after a week, we make her dream to meet Mickey and all the princesses",Disneyland_Paris
247064371,4,2014-12,United States,"A compact version of its big US relative, all the good stuff there but the queues and crazy fast pass system lets it down (good in theory but not in practice). Poor food quality and inflated prices don't help the overall experience but hey it's Disney so it's hard not to love!",Disneyland_Paris
285927429,3,2014-11,Canada,We went there in November where the Christmas decorations were up already! It is small compared to Disney California and Disneyworld but equally beautiful! We're lucky that we didn't get rain. The small world ride is fantastic! Don't miss this!,Disneyland_Paris
366622443,4,2016-4,Denmark,"I visited this park with my family on a weekday. I have been to Disney parks in the US and this one is smaller than those but it's a good one especially if you have young kids with you. It wasn't very crowded for the rides perhaps because it was a weekend and except Autopia and Dumbo the Elephant, we didn't have to wait too long for the rides. My recommended rides if you have kids with you: Mickey's 4d show, Dumbo the Elephant, Autopia, Jungle river cruise, Mickey and the Wondrous Book. Also, the parades (one around 3pm and another around 7:30pm) and the fireworks at closing are nice. Suggest going early when it isn't crowded.",Disneyland_HongKong
386792515,4,2016-6,United States,"Sadly when we were visiting two of our favorite rides(space mountain and railroad coaster in Frontier land) were closed for maintenance construction. The lines at this place were very short! I don't think we waited more than 10 min for any rides. Toy story land surprised me with how enjoyable the rides there were. The live shows were absolutely amazing and worth the wait! I don't think it's necessary to be waiting exactly when they suggest but at least a 10min before the start of the show. *our wait times might be skewed because we went on a Wednesday on a very very hot June day (weather channel said it felt like 105oF the day we went).There are many good food options for people but there was only limited air conditioned seats so we opted to buy hotdogs from a stand and stayed under the shade for a quick bite to eat. Try the mango juice there, it tastes so good and is super refreshing on a hot day!We didn't get a chance to watch the parades  fireworks because it was so hot outside that we wanted to do all the rides and buy some souvenirs before heading back to our hotel. The shops on main street have a ton of promos for people that like souvenirs and even have us some stickers and a small notepad as gifts.When we left we were invited to do a survey and got a ton of hong kong disneyland souvenirs! If we head back to Hong Kong, we will definitely go to disneyland again...but maybe this time try to come in winter to avoid that heat :)",Disneyland_HongKong
135025535,4,missing,Australia,We enjoyed the day and loved the rides. Toy Story land was the kids favourite with my six year old taking the challenge of Andy's toy car. Very scary.  Don't think she will do that again in a hurry.   Thanks for great day out.,Disneyland_HongKong
123280908,4,2011-12,Singapore,"We visited Paris disneyland in Dec 2011, Disneyland is always Disneyland, beautiful and magical , no matter which country you visit, the difference is only in the language. My advice for tourists are to purchase the tickets online ( where there is a discount ) or using the Paris Viste ticket to purchase on the counter where discount is provided. Otherwise the tickets for walk in can be expensive, Adult is     71.00 and Child     64.00, for a single day pass for 2 parks ( including Walt Disney Studio).My understanding is the the locals ( French) got a even better discount from the tickets. So do your homework to get a good price. Overall, nice experience, not overly crowded . We need not use the fastpass at all during this period. With Christmas theme in the Disneyland, it is really special !",Disneyland_Paris
178742836,4,2013-9,United States,"Well, first off we love Disney, no matter which park or state you go to it in, its always fun. I have to say though, I did like Disney California adventure more than Disneyland and I liked Disney World better than both. Disneyland tries to keep it as close to original as possible, with all the staff wearing old fashioned garb. There was a ton to do in the park, we never did get to finish it all. The thing that made me sad about this park though, is their lack of fast passes, not all rides have them, as matter of fact, only a couple do. Unlike Disney world, there is also no real pin trading here, none of the staff wears trading pins.. but yet they are still sold in the park stores, it was kind of disappointing. Other than that we had a great time. ",Disneyland_California
277626290,5,2015-6,United States,"I am an annual pass holder and live near Disneyland so it is a convenient place for me to go. I enjoy the atmosphere and all the different food and scenery. It is a great place for kids, a group of friends or even a date! My significant other and I just for dinner or breakfast sometimes. Never had a bad experience at the happiest place on earth.",Disneyland_California
225144119,5,2014-8,United Kingdom,"Had a fantastic time in Disneyland Paris. All the family enjoyed the trip. Stayed for three nights at Camp Davy Crocett.So glad we had the early passes to see all the attractions cause its so busy.Disney fast pass is brilliant to be able to do all the rides.I was upset about the princesses having to queue to get a ticket to go back later to queue again to see them. But worth it for the smile on the kids faces.Yes Disney is busy but with planning and early mornings and late nights you can see and do everything. Enjoy the magic Also the half board option is great value for money, even includes a afternoon snack and drink.",Disneyland_Paris
248192557,3,2014-12,Singapore,"Yes, it was the holidays, but it felt like the whole world was at Disneyland. It was so crowded that it was difficult to walk and queues were super long. It was not a pleasant experience.",Disneyland_California
349095785,3,2016-2,United Kingdom,"First of all you had to keep reminding yourself that Disney Land is for children and that ladies wrapped in shawls and mutton cloth can never be nine years old again.So force yourself to lap up the romantic doey eyed view of Paris and be enthralled in the jungle of concrete slabs and thermoplastic injected fantasy.This may be difficult when you have been waiting line for a bag of cold skinny fries which really kicks the hell out of the idea of Fast Food.Oh my dear monsieur, sacre bleu, 7 Euros for a beer ! vache sacree ! good job this is not real proper money like what we spend in Blighty.Another beer please.... Une autre biere s`il vous plait.... was not a linguistic phrase that was uttered very often at that price for half a jar of swamp water.Enjoy yourself with the family and for a few fleeting moments forget about the credit card bills waiting on the door mat to welcome your joyful return.",Disneyland_Paris
140732182,5,2012-9,Malaysia,"Make sure you plan your trip perfectly otherwise you can't finish everything in one day. The themepark is not too big, can be easily finished in one day. I'm going there with family and this is my first Disneyland. We ate breakfast before going into the park, as the food cost around 60~80HKD. A lot awesome rides you must not missed. A lot stuff is written and spoke in Cantonese. It's just unforgettable as a first timer.",Disneyland_HongKong
169832048,3,2013-6,Hong Kong,Hong Kong Disney is very small and crowded. Food and drinks terribly expensive. Few seating areas. Can be extremely hot during summer.,Disneyland_HongKong
429061068,3,2016-9,Philippines,"This is not my first Disneyland. I've also been to Disney in Orlando and also Universal Studios and I remember those as being fun even if I went there when I was already 27. But this Disney is smaller and the rides are less   scary and thrilling. It really is a wonderland for kids. My 12 year old niece enjoyed it but me, not as much. Also, when you watch the festival of lights, if ou can't go near from the center, better to be at the center even if you are far away. That way, you can still see the fireworks. We decided to go near but at the side and was only able to see once part of the castle, the other part was blocked from view.",Disneyland_HongKong
303702131,1,2015-8,United Arab Emirates,"I really felt bad for our kids since we have spent more time in waiting than playing , the queue for each game was more than 1 hour so we got tired easily and discovered the day was over without enjoying as much as we wanted . it will not make any difference if you come early or late to Disney since you will maximum play 3 games anyway for being tired from the long waiting .we just took it as a onetime experience and for sure we will not come back . don   t stay late before the closing as the train can get full and for sure you are tired and have to wait for another queue to go back home .",Disneyland_Paris
130102931,5,2011-9,Canada,"A trip to Disneyland is a fantastic family holiday. Rather than watch your kids enjoy themselves at a children's attraction, Disney creates a world that is also very entertaining and nostalgic for adult to participate in as well. There are wild and tame rides, shows, music, static attractions, shopping, tasty food and games. I have been there twice, once in mid May and once in late September. Crowds were low and lines were short most of the time. Sometimes we could walk on a ride within 5 minutes but during the afternoon and on weekends, the lineups were longer. It is a pricey trip but I feel that it was worth it. Take snacks and drinks as the food prices in the park are high for those items. Learn about the Fast Pass system and use it, even if you don't think the park is busy. The morning is slower, so grab passes for the afternoon, when the lines are longer. The fastpasses will indicate a timeframe to return but we found that they are actually good for that entire day. We are planning another trip for this fall. If I could afford it, I would visit the park every year.",Disneyland_California
168942995,5,2013-7,United States,"I just love Disneyland!!! It really makes me forget about any worries, because it just is such a magical place to be. I feel like a kid again and I just love to see my daughter's face full of excitement. I love that unique smell and feeling of excitement when you first enter the park. It really is like entering a different world, where you leave your worries behind. I really like how much attention to detail there is. It is always very clean and the cast members are always smiling, only once was there one that definitely needed some pixie dust. But hey, they are human after all, and who knows what was afflicting him that day. I also appreciate that they can accommodate to people with special needs and also that some of their restaurants do have glutten free options. The prices are high, won't deny that, but I do think that you do get what you pay for. Just a wonderful time!! I do feel blessed that I have been able to enjoy it with my family a couple of times and I really hope that everyone can enjoy it at least once in their lifetime.",Disneyland_California
553450312,5,2017-12,United States,"My family of 2 adults and 2 kids (age 12,14) visited Disneyland on Christmas Eve. We arrived at 7:30 and we   re allowed into the park at 7:45 but not able to ride any attractions until rope drop. My son was first in line for the Matterhorn Bobsleds, my husband was able to get a handmade candy cane made fresh that day, my daughter and Were the first to ride Peter Pan, and It   s a Small World. The original rides here that Walt made are old school but still amazing( Alice in Wonderland, Mr. Toad, and Storyland Canals). We loved these rides. We loved all the intricate details of the park, how much longer the rides were compared to Disney World ( Pirates if the Caribbean) and that the lines seemed to move quickly even though the park was crowded. The Christmas decorations were very pretty as well as the castle lit up at night. We enjoyed our visit and look forward to going back. ",Disneyland_California
189934454,3,2014-1,United Kingdom,"We visited the park for New Years Eve 2013 staying a total of 4 days. This was our fifth visit but certainly the worst. The whole point of going to Disneyland is for the magic of Disney and the whole Christmas celebrations seemed to detract from this rather than enhance this. The main Christmas themed evening display was nice to see but not as good as the one we saw on our last visit in October 2012. In addition to this the park was packed to the point where you were continuously battling your way through crowds, huge restaurant queues and massive ride queues. Nearly all the queues in the park for the large rides were way to long averaging 1.5 hours plus for most of our stay. It was also annoying to find queue jumping and people standing right up against the back of you in queues. Fast passes are a great idea but most of them joint the standard queue in a way that you felt like you were pushing in, there were no staff helping to filter you through, instead you simply had to push your way in. Not sure why the Disney Paris management thinks this is acceptable in Europe but not in the USA. The rides as ever were great fun and the themeing is second to none, but the park falls short of the Magic Kingdom in Florida and the original Disneyland park in LA. Thunder Mountain broke down on three of the four days we were in the park which was disappointing. On the last day we waited 45 minutes even with our Fast Passes due to it breaking down and reopening causing a huge backlog of people.Probably the most annoying thing about this visit (that I have never noticed before) was the vast amount of people smoking all over the park; in queues (those outside and those inside), in the toilets, parades, shows and the doorways to restaurants and shops. I have no issue with people smoking affecting their own health but if there are smoking areas people should stick to these areas. The Disney staff did not seem to challenge members of the public smoking despite no smoking signs on nearly all the queues.Will not be visiting the Paris Disneyland Park any time soon and will never visit during peak time as its not worth it as the park standards slip. If you have to go during peak time go to Florida Disney parks as they are better managed and more enjoyable.",Disneyland_Paris
137874380,3,2012-8,Australia,"My 4.75 year old and I visited HK Disneyland during Chinese school holidays which meant it was hot, humid and crowded. Average wait time for rides was close to 1 hour which is a big ask for a little person. When we did get in (had some problems with the vouchers I purchased through Expedia) the Customer Relations gave us some  Fast Passes  for a few rides. This was definitely the way to go because it meant we only had to wait about 10 15 minutes for the rides (Buzz Lightyear & Pooh Bear). A good tip is also to go on the rides as a 'single' because it's about 1 4 the wait time compared to going in a group especially Space Mountain. It's also handy to buy an Octypus train pass so you don't have to que up to buy single tickets when returning to your destination.",Disneyland_HongKong
401904294,3,2016-8,United States,"My family and I were so excited to revisit Disneyland. I have always felt it was more quaint, magical and less commercialized than Disney world. However, on this trip, the staff seemedGrumpy and frankly over it. The ticket window lady was super annoyed with our transaction. Several rides were down for refurbishment, which we knew ahead of time. Fast passes are lacking and the wait times begin to become too long. We love Disneyland but felt the original idea and concept is becoming lost. ",Disneyland_California
163328851,5,2013-1,United Kingdom,"Disneyland, the happiest place on earth! It's exhausting but it really is a great time. We were travelling as a couple, so no kids with us, and we managed to plan the whole day out to make sure we barely had to wait in any lines. We arrived first thing in the morning and went straight to the rides that are notorious for having long lines. We waited for ten minutes for Space Mountain, 5 minutes for the Star Wars Ride, 15 minutes for Indiana Jones, 2 minutes for Pirates of the Caribbean... So many people say to do these rides later in the day, but for us, 8am was the best time to do them. The park got really busy around 10.30 so before that there weren't huge lines to wait in. We also made use of the fast pass which was really great and on our tickets we got one magic morning which we used to wait in the lines of the rides we had missed out on the short rides of previously like the Matterhorn. We also went through the more kiddie rides then   Peter Pan, The Teacups, It's a Small World, which get really busy later in the day. We got through most of them in an hour and a half because there were no lines which was great. If you get some of those free apps on your phone which show you the waiting time for the rides you can monitor them the days before you go and decide which rides you'll rush to first thing. It really helps and saves a lot of time.The other thing to do is to go on the rides via fast pass late at night, like after the last Fantasia show has finished. There were very few lines then as well. However, leading up to the shows the lines were very long.I was actually disappointed by the Matterhorn...was really slow! LOVED Space Mountain and Thunder Mountain. The fireworks are also some of the best I've ever seen....Disneyland really is an exciting and magical place! I can't wait to take my children there one day!",Disneyland_California
475805020,5,2017-4,Peru,"I visited HK Disneyland for the very first time with my wife , my brother and my wife kids , 4 and 11 years old.I just have to say that this was a lifetime experience. The park is not as big as the one on Orlando but it has fantastic attractions to enjoy with the family. One day of course is not enough to visit all the attractions . I suggest to buy the 2 day pass in order to have plenty time to visit all the wonderful themed worlds around the park.My favorite , the mine roller coaster!! Before the park closes its door at around 8:30 pm , there is an amazing fireworks show which is the perfect way to close this unforgivable experience! Thank you Disney!",Disneyland_HongKong
179549488,3,2012-12,Australia,If you are short on time and don't mind seeing less attractions then Disneyland Hong Kong is for you. Unfortunately we had comparisons from other Disney parks and we were disappointed.,Disneyland_HongKong
186743639,5,2013-11,United States,"We always have a special time there, from our daughter getting married at Paradise Pier to now getting to spend time with our grandchildren. We have never had a annual passport so we decided this year to get one so we could spend more time with the kids who always have one and we've had a blast. We don't know if we will get one again, (price is kinda high) but we will enjoy it all the same. Everyone needs to go at least once to the Happiest place on Earth.... because once your inside you forget all about what's on the outside.. Have fun.....",Disneyland_California
589137050,5,2018-6,United Kingdom,"Well we were pleasantly surprised by the cleanliness, friendliness and the amazing attention to detail that this park offers.  Had the most amazing weekend and would go back in a heartbeat.",Disneyland_Paris
211767417,5,2014-3,Canada,"Disneyland was nice and small. Easily accessible as well. Lots of similar things to Disney World, but also quite a few differences. It would have been nice if they had the magic bands rolled out there as well. We did have trouble with our tickets as they issued a child ticket to a senior and vice versa. Even though they fixed it, we still had a problem later on when park hopping.",Disneyland_California
425728970,5,2016-9,United Kingdom,"This was our first visit to Disneyland, having previously visited Walt Disney World in Florida and Disneyland Paris.It was a magical visit! The turning was amazing (as you would expect at Disney!). All the car members were so friendly and the way times pretty low.Can't wait to come back!",Disneyland_California
357722305,2,2016-3,Canada,"I worked in South Florida for eight years and the work required me to visit Disney and other theme parks in Orlando on several occasions...so I knew they weren't my cup of tea! We took our grandchildren to LA last week and felt obliged to shell out $400 for Disney Park tickets. What a shambles. The park is clean, the personnel are professional and pleasant and the rides work if you can get on them...but you can't. Standing in giant line ups we were surrounded by piped music, exposed to broiling sun and the less than charming aroma of fast food.I accept that millions of people seem to enjoy this although I am at a loss to understand why, so I will buy shares in Disney but I will never go back!",Disneyland_California
623908588,5,2018-10,Australia,I had been to Disneyland when i was 12 and was so excited that i could return with my husband and 2 boys 12 and 15.We all had an amazing time. MUST fast pass.....and if you can avoid taking a bag your entry is faster.Only disappointment waa that we didnt really see the characters much and the parades were pixar only. Would have loved to have seen the older characters such as goofy and Pinocchio in a parade.That being said if you did spot a character you could line up for a pic. I would love to see tge characters just wandering around main street near each land entry for most the day.Park was very clean and even though it was very crowded there was no pushy behaviour.I really hope i am blessed enough that i may return again one day!,Disneyland_California
317582390,5,2014-11,United States,Yes it is still fun as you become older. I like to do things to bring the kid out in me and my friends. At 50 still fun.,Disneyland_California
168489234,4,2013-1,Malaysia,"Reading reviews here, I was really skeptical   almost not in our itinerary.  Yes, we encountered some people cut queue, their modus operandi   1 person got front first and then he called the whole gang to his place as if he was queuing from...More",Disneyland_HongKong
120184152,5,2011-6,India,"Once your in Hongkong, your in heaven and in heaven disney land is the best place to see, its not only for children but even for adults and a lovely place to be at.Its built with top class infrastructure with best of rides and lot of star attractions.It is so huge and big that one full day might not be enough to see each and everything.Lovely place with great climate its a lovely place i saw and enjoyed it so much that didnt want to come out from there.If you go to hongkong and if you dont see disney land then your trip to Hongkong is a waste",Disneyland_HongKong
133839022,5,2012-6,United States,"I have been to Disneyland five times and each time I get as excited as a little kid. Yes, it is expensive but when you compare the WHOLE package to other theme parks, other parks do not even come close to being anything that Disney is. Cast members are ALL friendly, smiles on faces, helpful, seem to really enjoy themselves. Lines might be long for some rides but lines move quickly. We were there the opening day of CARS. Didn't get to ride Cars but I'm sure it will be there the next time I go back. This is truly a magical place. Helpful hint you can bring in your own food and drinks! You can also leave to rest or eat at McDonald's (across street with reasonable prices) as long as your hand is stamped and you have your tickets. After visiting a Disney restroom, other restrooms cannot even compare to the cleaniness of Disney. Park is always spotless.Very family friendly, handicapped friendly, elderly friendly, newly wed friendly (saw three newly wed couples on visit), EVERYONE friendly place.One prior visit was with a group of handicapped adults. Cast members were more than accommodating. My group had a wonderful time.This is a MUST for ALL people little girls become a princess, boys have adventure, adults remember their childhood favorite Disney characters.",Disneyland_California
214074998,3,2014-6,United States,We have been to Walt Disney World in Floridia numerous times and this was our first Disneyland experience. I don't think I would rush back. It feels more like going to any other amusement park really and I think that is just because of how it is really within Anaheim with all the other hotels etc. so close. We prefer how the Floridia park is so spread out that we feel like we are in a whole other world. We didn't get that feeling with Disneyland. And the staff here I think they need to go back to customer service school! What a difference in the helpfulness and attitude of the staff here compared with Disney World. My husband was sent on a wild goose chase by two seperate staff members while trying to get lunch for my son. Come to find out the place they were directing him to was OUTSIDE the park but no one explained that to him. This park is also smaller and the locals definately go often so it gets crowded which I guess is typical for any Disney park but it just felt worse because there wasn't as much space for people to spread out within the park.,Disneyland_California
173627623,4,2013-8,Kuwait,"We had a very long day in this very, very crowded beautiful place.  The park is amazing, and we had to wait till 11 pm to watch the magnificent fireworks and show. Don't miss it.",Disneyland_Paris
612931046,5,2018-5,Oman,"Happy place for kids and kids at heart. Me and my son enjoyed the disneyland park. Though the time when we visited there, the castle is under renovation.      But otherwise the whole experience was memorable.",Disneyland_HongKong
214307568,4,2014-5,Germany,"You will find quite a few rides here. For young as well as brave elders. But for each, you have to queue up for a minimum of 30 mins to 3 hours. The shows are simply superb, but provided you can see them after standing in the queue. Best to reach there as soon as Disneyland opens. Direct trains from Paris are there. Ice cream was delicious. Lots of food parlous available. Plan your trip through this based on the timing of the shows. The brochure at the entrance, along with the tickets will give you the details of the show timings for the day. Enjoy the Disney parade. I wish there were more rides though and definitely more intelligent rides. The shows should also be increased to accommodate more people. Else, it becomes a waste of lot of money.",Disneyland_Paris
336519713,5,2015-6,United States,"Been going here since I was little and now in my thirties taking my niece and family. We love this place, the rides, attractions, shows, food and endless things to do while here. Unfortunately they will be closing down our favorite eatery in the park  Big Thunder Ranch BBQ  due to the new  Star Wars  land they are in the process of making. No matter there is still so many great eats here. The rides are always fun and good for a laugh here as well. Nothing bad to say as we all know it gets packed and of course that so cal sun is always beaming down on ya. Walking down main street is always a beautiful thing to see the castle at the far end. Love it forever.",Disneyland_California
573548412,5,2018-3,United Kingdom,"The whole experience was fantastic, but... the queues. WE waited 40 minutes to get a cup of coffee at The hep cat club.Never even bothered to queue for 1 hour 30 minutes for Spiderman or the Princesses.Thought it wouldn't be too bad in march. Having said that the hotel, Sequoia lodge was very clean and well maintained. Food at breakfast and dinner very good choice.Always book your evening meals if you want a set time.Good to see there were security and bag checks, my husband had a bad experience with one of the women guards. He forgot he had his glasses case in his coat pocket which set off alarm, she physically pushed him back and with lots of verbal attitude and eye rolling put him back through the scanner. She was the only negative staff member we encounted.",Disneyland_Paris
158106482,5,2013-4,United States,Our grown up family had a great day at Disneyland. We used the fast pass for the most popular rides but we were there on a Sunday and it was not too crowded.We stayed in the California Adventure park.The cars ride was great very exhilarating.The white water rafting ride definitely gets you wet but it is fun.The California screaming was exciting.It was too exciting for my husband who got very dizzy.We learned there is a fully staffed first aid station as you enter each park.They have beds for people who need to lie down and nursed take vital signs etc. and monitor the patients until they are ready to return to the park.We had a lovely dinner at the Italian restaurant where we sat outside overlooking everything. Definitely worth the price of admission.,Disneyland_California
570630132,4,2018-3,Malaysia,Spent a great time with family. Kids are excited to be there.   Purchased 3 in 1 meal voucher but just redeem for lunch. Few restaurant not available for dinner.,Disneyland_HongKong
290775225,5,2015-7,Brazil,"Same ride options you will find in Orlando. Great show at the end. Try not to miss it, even if you are very tired.",Disneyland_California
331841270,4,2015-12,Canada,"I am only going to assume that 99% of the people with reviews complained about long lines, I am going to add to that. We went on a Saturday, in the first week of December   I did not think it would be AS BUSY   boy was I wrong   I have never been to an attraction as crowded as this. I have been to Disneyland in Paris, and Six Flags, and Canada's Wonderland, and other theme parks but never have I seen a theme park as busy as I experienced at Disneyland Anaheim. Some rides we had to wait minimum 1.5   2 hours. But like us, everyone else had to suffer as well. I recommend going but pick your days carefully, do some research and see when are the lowest crowded days to go.",Disneyland_California
206744385,5,2014-5,Canada,"This is our 3rd or 4th time to Disneyland but this time we brought our daughter who was 1.5yrs. We bought a 3 day pass one park per day which was very expensive but of course, worth it. California Adventure Park was awesome, the new additions like Paradise Pier and Cars Land were outstanding. The rides were great and we never ran into one employee who wasn't friendly or smiling. There are lots of choices for food and drinks, again pricey but to be expected. It was dissapointing that the Grizzly Rapids were closed on such a hot day. Seems like a ride that should be closed down during the less busy, colder months. World of Color was amazing! The next 2 days we spend in Magic Kingdom and it was very busy and very hot, but we still had a great time! the one thing the park lacks during very hot days are air conditioned places to eat or sit to escape the heat. The food line ups were always very long and it seemed to take forever to get any food we ordered. Better off just grabbing a hot dog from the vendor. The rides were awesome, we were able to take our 1.5year old on almost every one and she loved them! All the employees were very friendly and always helpful and smiling. The only negative about this experience were the amount of rides closed down, again seems strange to close down such popular rides such as pirates of the caribbean during such a busy time. There were at least 5 more rides that were closed too. The parade was awesome, the fireworks were awesome too!! We cant wait to come back!",Disneyland_California
642126773,4,2018-12,Hong Kong,"Ok admit it, first timer to Disneyland, must have been timing, but knew from day 1, ie getting into the car park, this was going to be a lesson in queuing   30mins just to queue for the car park?! Once in smoothly guided to a parking spot, tram to park, then into the park. Now LA Disney is made up of two parks   day one hit the main park (fantasyland etc) and day two the adventure park (Pixar pier etc).Both days when we visited were both super busy. We had younger children, so luckily none of the    big kids    rides, but still the teacups, etc busy. Expect queues running into 240mins. Yes get a fast pass   but it made no sense with small kids :(Recommend the shows   Ariels Adventure, Frozen live show, mickey   s Magic show, as ones to go for   my kids loved them.....and they rested my feet!",Disneyland_California
148821649,5,2012-12,United States,Lots of thrill rides with every ride with a beautiful themed walk in! Definately recommend it to families with children in Paris. Just a bit pricy.,Disneyland_Paris
